_id,type,model
ObjectId(67a2dc64ed6cf202fe07ae11),television,k20
ObjectId(67a2dc64ed6cf202fe07ae12),television,ss2
ObjectId(67a2dc64ed6cf202fe07ae13),television,k20
ObjectId(67a2dc64ed6cf202fe07ae14),television,boom
ObjectId(67a2dc64ed6cf202fe07ae15),television,dj1
ObjectId(67a2dc64ed6cf202fe07ae16),television,dj1
ObjectId(67a2dc64ed6cf202fe07ae17),television,ss2
ObjectId(67a2dc64ed6cf202fe07ae18),television,dj1
ObjectId(67a2dc64ed6cf202fe07ae19),television,ss2
ObjectId(67a2dc64ed6cf202fe07ae1a),television,dj1
ObjectId(67a2dc7ebfacdfee94b2f7e4),smart phone,cz
ObjectId(67a2dc7ebfacdfee94b2f7e5),smart phone,platina
ObjectId(67a2dc7ebfacdfee94b2f7e6),smart phone,platina
ObjectId(67a2dc7ebfacdfee94b2f7e7),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f7e8),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f7e9),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f7ea),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f7eb),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f7ec),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f7ed),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f7ee),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f7ef),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f7f0),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f7f1),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f7f2),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f7f3),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f7f4),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f7f5),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f7f6),smart phone,pk2
ObjectId(67a2dc7ebfacdfee94b2f7f7),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f7f8),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f7f9),smart phone,bn20
ObjectId(67a2dc7ebfacdfee94b2f7fa),smart phone,platina
ObjectId(67a2dc7ebfacdfee94b2f7fb),smart phone,pk2
ObjectId(67a2dc7ebfacdfee94b2f7fc),smart phone,c12
ObjectId(67a2dc7ebfacdfee94b2f7fd),smart phone,xm23
ObjectId(67a2dc7ebfacdfee94b2f7fe),smart phone,cz
ObjectId(67a2dc7ebfacdfee94b2f7ff),smart phone,bn20
ObjectId(67a2dc7ebfacdfee94b2f800),smart phone,k9
ObjectId(67a2dc7ebfacdfee94b2f801),smart phone,xm23
ObjectId(67a2dc7ebfacdfee94b2f802),smart phone,xm23
ObjectId(67a2dc7ebfacdfee94b2f803),smart phone,c12
ObjectId(67a2dc7ebfacdfee94b2f804),smart phone,pk2
ObjectId(67a2dc7ebfacdfee94b2f805),smart phone,k9
ObjectId(67a2dc7ebfacdfee94b2f806),smart phone,c3
ObjectId(67a2dc7ebfacdfee94b2f807),smart phone,c3
ObjectId(67a2dc7ebfacdfee94b2f808),smart phone,c3
ObjectId(67a2dc7ebfacdfee94b2f809),smart phone,cz
ObjectId(67a2dc7ebfacdfee94b2f80a),smart phone,bn20
ObjectId(67a2dc7ebfacdfee94b2f80b),smart phone,k9
ObjectId(67a2dc7ebfacdfee94b2f80c),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f80d),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f80e),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f80f),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f810),smart phone,c12
ObjectId(67a2dc7ebfacdfee94b2f811),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f812),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f813),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f814),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f815),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f816),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f817),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f818),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f819),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f81a),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f81b),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f81c),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f81d),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f81e),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f81f),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f820),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f821),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f822),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f823),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f824),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f825),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f826),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f827),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f828),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f829),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f82a),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f82b),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f82c),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f82d),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f82e),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f82f),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f830),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f831),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f832),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f833),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f834),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f835),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f836),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f837),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f838),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f839),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f83a),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f83b),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f83c),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f83d),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f83e),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f83f),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f840),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f841),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f842),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f843),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f844),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f845),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f846),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f847),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f848),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f849),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f84a),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f84b),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f84c),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f84d),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f84e),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f84f),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f850),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f851),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f852),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f853),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f854),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f855),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f856),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f857),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f858),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f859),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f85a),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f85b),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f85c),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f85d),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f85e),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f85f),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f860),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f861),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f862),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f863),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f864),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f865),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f866),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f867),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f868),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f869),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f86a),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f86b),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f86c),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f86d),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f86e),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f86f),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f870),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f871),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f872),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f873),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f874),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f875),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f876),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f877),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f878),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f879),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f87a),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f87b),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f87c),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f87d),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f87e),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f87f),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f880),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f881),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f882),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f883),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f884),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f885),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f886),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f887),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f888),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f889),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f88a),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f88b),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f88c),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f88d),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f88e),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f88f),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f890),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f891),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f892),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f893),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f894),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f895),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f896),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f897),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f898),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f899),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f89a),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f89b),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f89c),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f89d),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f89e),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f89f),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8a0),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8a1),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8a2),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8a3),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8a4),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8a5),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8a6),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8a7),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8a8),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8a9),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8aa),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f8ab),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f8ac),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8ad),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8ae),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8af),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8b0),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8b1),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8b2),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8b3),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8b4),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8b5),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8b6),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8b7),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8b8),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f8b9),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8ba),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8bb),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8bc),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8bd),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8be),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8bf),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8c0),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8c1),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f8c2),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8c3),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f8c4),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8c5),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f8c6),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8c7),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8c8),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8c9),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8ca),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8cb),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8cc),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8cd),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8ce),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f8cf),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8d0),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8d1),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8d2),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8d3),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8d4),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8d5),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8d6),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8d7),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f8d8),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8d9),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f8da),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8db),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8dc),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8dd),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8de),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8df),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8e0),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8e1),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8e2),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8e3),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f8e4),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8e5),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8e6),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f8e7),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8e8),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8e9),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8ea),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8eb),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8ec),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8ed),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8ee),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8ef),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8f0),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8f1),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8f2),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8f3),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f8f4),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8f5),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8f6),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f8f7),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f8f8),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8f9),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8fa),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f8fb),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8fc),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f8fd),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f8fe),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f8ff),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f900),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f901),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f902),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f903),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f904),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f905),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f906),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f907),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f908),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f909),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f90a),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f90b),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f90c),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f90d),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f90e),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f90f),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f910),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f911),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f912),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f913),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f914),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f915),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f916),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f917),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f918),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f919),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f91a),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f91b),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f91c),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f91d),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f91e),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f91f),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f920),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f921),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f922),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f923),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f924),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f925),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f926),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f927),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f928),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f929),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f92a),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f92b),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f92c),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f92d),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f92e),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f92f),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f930),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f931),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f932),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f933),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f934),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f935),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f936),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f937),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f938),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f939),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f93a),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f93b),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f93c),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f93d),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f93e),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f93f),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f940),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f941),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f942),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f943),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f944),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f945),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f946),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f947),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f948),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f949),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f94a),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f94b),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f94c),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f94d),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f94e),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f94f),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f950),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f951),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f952),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f953),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f954),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f955),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f956),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f957),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f958),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f959),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f95a),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f95b),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f95c),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f95d),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f95e),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f95f),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f960),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f961),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f962),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f963),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f964),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f965),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f966),laptop,kz
ObjectId(67a2dc7ebfacdfee94b2f967),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f968),laptop,ay9
ObjectId(67a2dc7ebfacdfee94b2f969),laptop,qw2
ObjectId(67a2dc7ebfacdfee94b2f96a),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f96b),laptop,k12
ObjectId(67a2dc7ebfacdfee94b2f96c),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f96d),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f96e),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f96f),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f970),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f971),laptop,j3
ObjectId(67a2dc7ebfacdfee94b2f972),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f973),laptop,zeta
ObjectId(67a2dc7ebfacdfee94b2f974),laptop,c6
ObjectId(67a2dc7ebfacdfee94b2f975),laptop,ki2
ObjectId(67a2dc7ebfacdfee94b2f976),laptop,jl3
ObjectId(67a2dc7ebfacdfee94b2f977),television,jk23
ObjectId(67a2dc7ebfacdfee94b2f978),television,k20
ObjectId(67a2dc7ebfacdfee94b2f979),television,boom
ObjectId(67a2dc7ebfacdfee94b2f97a),television,jk23
ObjectId(67a2dc7ebfacdfee94b2f97b),television,jk23
ObjectId(67a2dc7ebfacdfee94b2f97c),television,ss2
